display_name,username,verified,profile_image_url,text,datetime,tweet_url,image_urls,replies,retweets,likes,views,profile
لعزيز فايد - Laaziz FAID,,True,https://pbs.twimg.com/profile_images/1648298328260591620/5XCC1798_bigger.jpg,"#انشغالات -المواطنين
يمكنكم طرح إنشغالاتكم عبر هذه المنصة https:// mf.gov.dz/index.php/ar/c ontact-ar …",2023-04-20T12:04:52.000Z,https://twitter.com/LaazizFaidMF,,,,1,,LaazizFaidMF
Ndaba Gaolathe,,False,https://pbs.twimg.com/profile_images/1192114040077721602/7dKPG1TD_bigger.jpg,"AP Convention

Venue:Baisago Hall

Date:28 October 2017

Time:2pm #ska_bafa_chance #ska_ba_hemisa #tswelelopele_ya_botlhe",2017-10-27T12:43:26.000Z,https://twitter.com/ndabagaolathe,,1,8,21,,ndabagaolathe
Ndaba Gaolathe,,False,https://pbs.twimg.com/profile_images/1192114040077721602/7dKPG1TD_bigger.jpg,..day well-spent..journey well worth our commitment..thank you to friends present and absent..thank you for all the prayers..,2017-05-21T18:06:09.000Z,https://twitter.com/ndabagaolathe,,3,3,21,,ndabagaolathe
Olushegun ADJADI BAKARI,,True,https://pbs.twimg.com/profile_images/1764026279580336128/97-LrCiN_bigger.jpg,"Au nom du Président de la République @PatriceTalonPR , et de tout le peuple béninois, j'ai pu réaffirmer aujourd'hui notre soutien sans équivoque pour la résolution de la crise multidimensionnelle à laquelle doit faire face la République sœur d'Haïti.

Les défis sont nombreux : la",2024-01-18T15:20:16.000Z,https://twitter.com/shegunbakari,https://pbs.twimg.com/media/GEH1ys3WAAA72Kf?format=jpg&name=900x900,2,8,26,,shegunbakari
Olushegun ADJADI BAKARI,,True,https://pbs.twimg.com/profile_images/1764026279580336128/97-LrCiN_bigger.jpg,#TogoatACF2019 #togo at the front and definitely #Togo is the place #Togo,2019-03-26T15:20:43.000Z,https://twitter.com/shegunbakari,,1,7,27,,shegunbakari
Olushegun ADJADI BAKARI,,True,https://pbs.twimg.com/profile_images/1764026279580336128/97-LrCiN_bigger.jpg,"Cher @steph_sejourne , 

Félicitations pour votre nomination au poste de Ministre de l’Europe et des Affaires Étrangères. 

Le Bénin se réjouit de travailler avec vous pour renforcer nos liens d’amitié et de partenariat avec la France #BeninDiplomatie #Benin #France",2024-01-12T09:20:27.000Z,https://twitter.com/shegunbakari,,1,1,27,,shegunbakari
Romuald Wadagni,,True,https://pbs.twimg.com/profile_images/1746760218573156353/O1grrqbq_bigger.jpg,"Le Bénin est reconnu à l'internationale comme une signature fiable, conséquence logique des politiques ambitieuses inspirées de la vision de @PatriceTalonPR .

Nos priorités d’investissement sont claires et axées sur 3 domaines : la cosmétique, pharmaceutique et agro-industrie.",2022-08-31T10:59:04.000Z,https://twitter.com/WadagniRomuald,,1,6,29,,WadagniRomuald
Romuald Wadagni,,True,https://pbs.twimg.com/profile_images/1746760218573156353/O1grrqbq_bigger.jpg,"Merci au Président de la République de #RDC Félix Tshisekedi, de m'avoir reçu en audience afin que je puisse lui porter un message personnel du Président @PatriceTalonPR .",2021-12-08T12:52:31.000Z,https://twitter.com/WadagniRomuald,"https://pbs.twimg.com/media/FGBUp0zXMAQlJg7?format=jpg&name=small, https://pbs.twimg.com/media/FGBUqdFXEAA2iaw?format=jpg&name=small, https://pbs.twimg.com/media/FGBUq6YWQAAvRAb?format=jpg&name=small, https://pbs.twimg.com/media/FGBUrXYWUAU3Oky?format=jpg&name=small",5,10,28,,WadagniRomuald
Romuald Wadagni,,True,https://pbs.twimg.com/profile_images/1746760218573156353/O1grrqbq_bigger.jpg,"Ce 1er mai nous célébrons tous les travailleurs béninois qui, chaque jour, contribuent par leur dévouement et  leur engagement au développement économique et social de notre pays.

Bonne fête du travail à toutes et à tous ! #InternationalWorkersDay",2022-05-01T09:43:10.000Z,https://twitter.com/WadagniRomuald,,5,1,28,,WadagniRomuald
Romuald Wadagni,,True,https://pbs.twimg.com/profile_images/1746760218573156353/O1grrqbq_bigger.jpg,"Les députés ont adopté à l'unanimité la nouvelle loi de Finances : le #budget 2022 du #Bénin est de 2 541,203 milliards FCFA. 
Ce budget permettra de poursuivre la volonté de @PatriceTalonPR d’améliorer les conditions de vie de tous les citoyens.",2021-12-14T10:30:06.000Z,https://twitter.com/WadagniRomuald,,5,12,19,,WadagniRomuald
Romuald Wadagni,,True,https://pbs.twimg.com/profile_images/1746760218573156353/O1grrqbq_bigger.jpg,"En cette Journée Internationale des droits des femmes, soulignons la contribution des femmes au développement du Bénin. Sous l'autorité de @PatriceTalonPR , la politique du gouvernement permet de grandes avancées pour l'égalité et les droits des femmes. Continuons à agir ! #IWD",2022-03-08T15:42:29.000Z,https://twitter.com/WadagniRomuald,,1,13,27,,WadagniRomuald
